Species Common Name,Scientific Name,Taxon Class,Overall Sample Size,Overall MLE,Male Sample Size,Male MLE,Female Sample Size,Female MLE
"Lynx, Canada",Lynx canadensis,Mammalia,382,14.9,178,15.6,203,14.5
"Macaque, Japanese",Macaca fuscata,Mammalia,300,22.3,109,18.5,191,23.8
"Macaque, Lion-tailed",Macaca silenus,Mammalia,183,26.6,93,26.4,89,26.7
"Macaque, Sulawesi",Macaca nigra,Mammalia,274,14.7,,,,
"Macaw, Hyacinth",Anodorhynchus hyacinthinus,Aves,485,24.3,249,25.2,228,23.9
"Magpie, Azure-winged",Cyanopica cyanus,Aves,173,10.2,76,9.7,76,10.7
"Magpie, Red-billed Blue",Urocissa erythrorhyncha,Aves,112,11.5,46,13.3,57,11.4
Mandrill,Mandrillus sphinx,Mammalia,258,20.1,107,20.1,151,20
"Mangabey, Red-capped",Cercocebus torquatus,Mammalia,135,17.8,64,18.1,71,17.7
"Markhor, Turkmenian",Capra falconeri heptneri,Mammalia,868,9.4,405,11,460,9.1
"Marmoset, Geoffroy's",Callithrix geoffroyi,Mammalia,413,7.3,200,7.4,213,7.2
"Marmoset, Pygmy",Callithrix pygmaea,Mammalia,943,5.9,460,6.4,464,5.3
Meerkat,Suricata suricatta,Mammalia,1860,9.6,1021,9.7,798,9.6
"Monkey, Bolivian Gray Titi",Callicebus donacophilus,Mammalia,349,15.3,169,16.8,176,12
"Monkey, Central American Spider (Geoffroy's)",Ateles goeffroyi,Mammalia,1109,25.1,452,24.5,613,25.3
"Monkey, Common Squirrel",Saimiri sciureus,Mammalia,426,14.7,164,13.7,256,14.9
"Monkey, DeBrazza's",Cercopithecus neglectus,Mammalia,612,15,294,15.7,303,14.3
"Monkey, Patas",Erythrocebus patas,Mammalia,573,14.7,240,13.6,312,15.6
"Monkey, Robust Black Spider",Ateles fusciceps robustus,Mammalia,272,26.2,101,26.6,165,24.7
"Monkey, Schmidt�s Red-tailed",Cercopithecus ascanius schmidti,Mammalia,187,16,82,14.3,99,16.8
"Monkey, Southern Black Howler",Alouatta caraya,Mammalia,260,17.9,133,17.8,121,18.1
Moose,Alces alces,Mammalia,150,6.6,66,5,84,8.4
"Motmot, Blue-crowned",Momotus momota,Aves,464,7.2,227,7.6,216,7
"Mynah, Bali",Leucopsar rothschildi,Aves,693,9.9,341,9.7,338,9.9
"Mynah, Golden-crested",Ampeliceps coronatus,Aves,191,6,78,6,96,6
"Nyala, Lowland",Tragelaphus angasii,Mammalia,1162,6.9,553,4.9,608,8.8
Ocelot,Leopardus pardalis,Mammalia,376,15.4,182,14.8,193,15.7
Okapi,Okapia johnstoni,Mammalia,351,16.4,173,17,178,15.6
"Orangutan, Bornean",Pongo pygmaeus,Mammalia,178,31.5,83,27.3,95,38.5
"Orangutan, Sumatran",Pongo abelii,Mammalia,219,28.7,105,25.2,114,32.8
"Oryx, Arabian",Oryx leucoryx,Mammalia,1036,13.6,516,11.3,519,14.7
"Oryx, Fringe-eared",Oryx gazelle callotis,Mammalia,300,11.2,128,9.5,172,12.7
"Oryx, Scimitar-horned",Oryx dammah,Mammalia,1452,14.2,691,10.7,751,15.2
Ostrich,Struthio camelus,Aves,1091,10.6,433,9.4,593,11.5
"Otter, Asian Small-clawed",Amblonyx cinereus,Mammalia,458,12.6,223,14,234,11.2
"Otter, North American River",Lontra canadensis,Mammalia,961,12,498,12.1,451,11.8
"Otter, Sea",Enhydra lutris kenyoni & E. l. nereis,Mammalia,142,14.8,56,14.6,86,14.9
"Owl, Burrowing",Athene cunicularia,Aves,755,7.5,300,7.8,298,7.2
"Owl, Snowy",Nyctea scandiaca,Aves,341,10.1,159,10.3,162,9.2
"Panda, Red (fulgens)",Ailurus fulgens fulgens,Mammalia,515,10.5,242,10.5,273,10.4
"Panda, Red (refulgens)",Ailurus fulgens refulgens (styani),Mammalia,172,12,90,11.5,82,13.5
"Parrot, Hawk-headed",Deroptyus accipitrinus,Aves,171,20.4,85,28.3,78,15.5
"Parrot, Thick-billed",Rhynchopsitta pachyrhyncha,Aves,315,10.7,149,11.6,157,9.4
"Peafowl, Congo",Afropavo congensis,Aves,159,7.3,84,7.9,75,5
"Pelican, Pink-backed",Pelecanus rufescens,Aves,157,12.8,72,12.6,78,13
"Penguin, Adelie",Pygoscelis adeliae,Aves,462,17.3,183,16.8,180,17.9
"Penguin, African",Speniscus demersus,Aves,2062,17.4,911,18.9,865,16.1
"Penguin, Chinstrap",Pygoscelis antarctica,Aves,354,25.5,159,25.1,147,28.2
"Penguin, Gentoo (ellsworthi)",Pygoscelis papua ellsworthi,Aves,475,26.9,195,26.9,231,26.6
"Penguin, Humboldt",Spheniscus humboldti,Aves,741,16.5,361,18.3,353,15.7
"Penguin, King",Aptenodytes patagonicus,Aves,514,25.4,246,25.5,218,24.7
"Penguin, Macaroni",Eudyptes chrysolophus,Aves,290,26.3,132,26.3,130,28.5
"Penguin, Magellanic",Spheniscus magellanicus,Aves,673,8.5,276,8.8,248,8.4
